CHROMIUM-10bit-AV1-TEST-VECTORS,,CHROMIUM-8bit-AV1-TEST-VECTORS,,AV1-TEST-VECTORS,
NvVkSample-AV,,NvVkSample-AV,,NvVkSample-AV,
Vector,Result,Vector,Result,Vector,Result
00000671.ivf,Success,00000527.ivf,Success,av1-1-b10-00-quantizer-00,Success
00000672.ivf,Success,00000535.ivf,Success,av1-1-b10-00-quantizer-01,Success
00000673.ivf,Success,00000548.ivf,Success,av1-1-b10-00-quantizer-02,Success
00000674.ivf,Success,48delayed.ivf,Success,av1-1-b10-00-quantizer-03,Success
00000675.ivf,Success,av1-1-b8-02-allintra.ivf,Success,av1-1-b10-00-quantizer-04,Success
00000716.ivf,Success,av1-1-b8-03-sizeup.ivf,Fail,av1-1-b10-00-quantizer-05,Success
00000717.ivf,Success,av1-1-b8-23-filmgrain-50.ivf,Success,av1-1-b10-00-quantizer-06,Success
00000718.ivf,Success,ccvbfilmgrain.ivf,Success,av1-1-b10-00-quantizer-07,Success
00000719.ivf,Success,framesrefsshortsignaling.ivf,Success,av1-1-b10-00-quantizer-08,Success
00000720.ivf,Success,nonuniformtiling.ivf,Success,av1-1-b10-00-quantizer-09,Success
00000761.ivf,Success,test-25fps-192x288-only-tile-cols-is-power-of-2.ivf,Success,av1-1-b10-00-quantizer-10,Success
00000762.ivf,Success,test-25fps-192x288-only-tile-rows-is-power-of-2.ivf,Success,av1-1-b10-00-quantizer-11,Success
00000763.ivf,Success,test-25fps-192x288-tile-rows-3-tile-cols-3.ivf,Success,av1-1-b10-00-quantizer-12,Success
00000764.ivf,Success,,,av1-1-b10-00-quantizer-13,Success
00000765.ivf,Success,,,av1-1-b10-00-quantizer-14,Success
av1-1-b10-00-quantizer-00.ivf,Success,,,av1-1-b10-00-quantizer-15,Success
av1-1-b10-00-quantizer-10.ivf,Success,,,av1-1-b10-00-quantizer-16,Success
av1-1-b10-00-quantizer-20.ivf,Success,,,av1-1-b10-00-quantizer-17,Success
av1-1-b10-00-quantizer-30.ivf,Success,,,av1-1-b10-00-quantizer-18,Success
av1-1-b10-00-quantizer-40.ivf,Success,,,av1-1-b10-00-quantizer-19,Success
av1-1-b10-00-quantizer-50.ivf,Success,,,av1-1-b10-00-quantizer-20,Success
av1-1-b10-00-quantizer-60.ivf,Success,,,av1-1-b10-00-quantizer-21,Success
av1-1-b10-23-filmgrain-50.ivf,Success,,,av1-1-b10-00-quantizer-22,Success
,,,,av1-1-b10-00-quantizer-23,Success
,,,,av1-1-b10-00-quantizer-24,Success
,,,,av1-1-b10-00-quantizer-25,Success
,,,,av1-1-b10-00-quantizer-26,Success
,,,,av1-1-b10-00-quantizer-27,Success
,,,,av1-1-b10-00-quantizer-28,Success
,,,,av1-1-b10-00-quantizer-29,Success
,,,,av1-1-b10-00-quantizer-30,Success
,,,,av1-1-b10-00-quantizer-31,Success
,,,,av1-1-b10-00-quantizer-32,Success
,,,,av1-1-b10-00-quantizer-33,Success
,,,,av1-1-b10-00-quantizer-34,Success
,,,,av1-1-b10-00-quantizer-35,Success
,,,,av1-1-b10-00-quantizer-36,Success
,,,,av1-1-b10-00-quantizer-37,Success
,,,,av1-1-b10-00-quantizer-38,Success
,,,,av1-1-b10-00-quantizer-39,Success
,,,,av1-1-b10-00-quantizer-40,Success
,,,,av1-1-b10-00-quantizer-41,Success
,,,,av1-1-b10-00-quantizer-42,Success
,,,,av1-1-b10-00-quantizer-43,Success
,,,,av1-1-b10-00-quantizer-44,Success
,,,,av1-1-b10-00-quantizer-45,Success
,,,,av1-1-b10-00-quantizer-46,Success
,,,,av1-1-b10-00-quantizer-47,Success
,,,,av1-1-b10-00-quantizer-48,Success
,,,,av1-1-b10-00-quantizer-49,Success
,,,,av1-1-b10-00-quantizer-50,Success
,,,,av1-1-b10-00-quantizer-51,Success
,,,,av1-1-b10-00-quantizer-52,Success
,,,,av1-1-b10-00-quantizer-53,Success
,,,,av1-1-b10-00-quantizer-54,Success
,,,,av1-1-b10-00-quantizer-55,Success
,,,,av1-1-b10-00-quantizer-56,Success
,,,,av1-1-b10-00-quantizer-57,Success
,,,,av1-1-b10-00-quantizer-58,Success
,,,,av1-1-b10-00-quantizer-59,Success
,,,,av1-1-b10-00-quantizer-60,Success
,,,,av1-1-b10-00-quantizer-61,Success
,,,,av1-1-b10-00-quantizer-62,Success
,,,,av1-1-b10-00-quantizer-63,Success
,,,,av1-1-b10-23-film_grain-50,Success
,,,,av1-1-b8-00-quantizer-00,Success
,,,,av1-1-b8-00-quantizer-01,Success
,,,,av1-1-b8-00-quantizer-02,Success
,,,,av1-1-b8-00-quantizer-03,Success
,,,,av1-1-b8-00-quantizer-04,Success
,,,,av1-1-b8-00-quantizer-05,Success
,,,,av1-1-b8-00-quantizer-06,Success
,,,,av1-1-b8-00-quantizer-07,Success
,,,,av1-1-b8-00-quantizer-08,Success
,,,,av1-1-b8-00-quantizer-09,Success
,,,,av1-1-b8-00-quantizer-10,Success
,,,,av1-1-b8-00-quantizer-11,Success
,,,,av1-1-b8-00-quantizer-12,Success
,,,,av1-1-b8-00-quantizer-13,Success
,,,,av1-1-b8-00-quantizer-14,Success
,,,,av1-1-b8-00-quantizer-15,Success
,,,,av1-1-b8-00-quantizer-16,Success
,,,,av1-1-b8-00-quantizer-17,Success
,,,,av1-1-b8-00-quantizer-18,Success
,,,,av1-1-b8-00-quantizer-19,Success
,,,,av1-1-b8-00-quantizer-20,Success
,,,,av1-1-b8-00-quantizer-21,Success
,,,,av1-1-b8-00-quantizer-22,Success
